input_prompt,enhanced_prompt
a samurai in dreamscape,"(samurai:1.25) in dreamscape, Steampunk style, volumetric lighting, majestic scale, intricate textures"
a wizard in cybernetic lab,"(wizard:1.25) in cybernetic lab, Cinematic style, sharp focus, octane render, hyper detailed, unreal engine 5"
a goddess in volcano,"(goddess:1.25) in volcano, Minimalist style, octane render, 8k resolution, unreal engine 5, dramatic shadows, ethereal atmosphere"
a angel in dreamscape,"(angel:1.25) in dreamscape, Cinematic style, volumetric lighting, muted tones, masterpiece quality, soft bokeh"
a dragon in ancient ruins,"(dragon:1.25) in ancient ruins, Steampunk style, ray traced, ethereal atmosphere, masterpiece quality, dramatic shadows"
a mechanic in desert oasis,"(mechanic:1.25) in desert oasis, Cyberpunk style, vibrant colors, ethereal atmosphere, intricate textures, ray traced"
a angel in neon city,"(angel:1.25) in neon city, Anime style, ethereal atmosphere, unreal engine 5, volumetric lighting"
a knight in stellar nebula,"(knight:1.25) in stellar nebula, Impressionist style, ethereal atmosphere, muted tones, ray traced, vibrant colors"
a explorer in medieval village,"(explorer:1.25) in medieval village, Minimalist style, majestic scale, dramatic shadows, 8k resolution, sharp focus, octane render"
a warrior in desert oasis,"(warrior:1.25) in desert oasis, Impressionist style, ethereal atmosphere, 8k resolution, volumetric lighting, masterpiece quality, muted tones"
a cat in medieval village,"(cat:1.25) in medieval village, Vaporwave style, 8k resolution, unreal engine 5, majestic scale"
a forest spirit in volcano,"(forest spirit:1.25) in volcano, Anime style, vibrant colors, volumetric lighting, sharp focus"
a wizard in cybernetic lab,"(wizard:1.25) in cybernetic lab, Renaissance style, sharp focus, ray traced, soft bokeh, vibrant colors"
a dragon in frozen tundra,"(dragon:1.25) in frozen tundra, Photoreal style, majestic scale, vibrant colors, 8k resolution"
a cyberpunk girl in deep forest,"(cyberpunk girl:1.25) in deep forest, Renaissance style, majestic scale, volumetric lighting, 8k resolution, masterpiece quality, ethereal atmosphere"
a wizard in underwater city,"(wizard:1.25) in underwater city, Photoreal style, sharp focus, masterpiece quality, octane render, dramatic shadows"
a queen in stellar nebula,"(queen:1.25) in stellar nebula, Anime style, ethereal atmosphere, sharp focus, vibrant colors, octane render, volumetric lighting"
a old man in cybernetic lab,"(old man:1.25) in cybernetic lab, Vaporwave style, soft bokeh, vibrant colors, muted tones, octane render, hyper detailed"
a cat in mars base,"(cat:1.25) in mars base, Anime style, muted tones, ray traced, soft bokeh, octane render"
a cyberpunk girl in stellar nebula,"(cyberpunk girl:1.25) in stellar nebula, Steampunk style, octane render, intricate textures, 8k resolution, volumetric lighting"
a cyberpunk girl in underwater city,"(cyberpunk girl:1.25) in underwater city, Cinematic style, unreal engine 5, soft bokeh, masterpiece quality, volumetric lighting, muted tones"
a cat in floating island,"(cat:1.25) in floating island, Vaporwave style, majestic scale, vibrant colors, masterpiece quality, sharp focus"
a samurai in volcano,"(samurai:1.25) in volcano, Impressionist style, intricate textures, ethereal atmosphere, volumetric lighting"
a dragon in desert oasis,"(dragon:1.25) in desert oasis, Vaporwave style, 8k resolution, unreal engine 5, ethereal atmosphere"
a queen in dreamscape,"(queen:1.25) in dreamscape, Cyberpunk style, dramatic shadows, ethereal atmosphere, sharp focus, soft bokeh, vibrant colors"
a angel in underwater city,"(angel:1.25) in underwater city, Cyberpunk style, volumetric lighting, majestic scale, vibrant colors"
a goddess in desert oasis,"(goddess:1.25) in desert oasis, Impressionist style, volumetric lighting, dramatic shadows, unreal engine 5"
a cyberpunk girl in ancient ruins,"(cyberpunk girl:1.25) in ancient ruins, Photoreal style, sharp focus, ethereal atmosphere, dramatic shadows, volumetric lighting"
a forest spirit in neon city,"(forest spirit:1.25) in neon city, Photoreal style, volumetric lighting, 8k resolution, muted tones"
a forest spirit in stellar nebula,"(forest spirit:1.25) in stellar nebula, Cyberpunk style, hyper detailed, intricate textures, octane render, vibrant colors"
a nomad in floating island,"(nomad:1.25) in floating island, Vaporwave style, ray traced, intricate textures, 8k resolution"
a astronaut in medieval village,"(astronaut:1.25) in medieval village, Cinematic style, unreal engine 5, muted tones, hyper detailed, 8k resolution"
a forest spirit in ancient ruins,"(forest spirit:1.25) in ancient ruins, Cyberpunk style, unreal engine 5, 8k resolution, ray traced"
a wizard in underwater city,"(wizard:1.25) in underwater city, Vaporwave style, majestic scale, vibrant colors, muted tones, volumetric lighting, 8k resolution"
a robot in mars base,"(robot:1.25) in mars base, Photoreal style, unreal engine 5, dramatic shadows, hyper detailed"
a astronaut in stellar nebula,"(astronaut:1.25) in stellar nebula, Steampunk style, volumetric lighting, vibrant colors, ray traced, majestic scale, dramatic shadows"
a monk in mountain temple,"(monk:1.25) in mountain temple, Vaporwave style, sharp focus, intricate textures, majestic scale, muted tones, volumetric lighting"
a astronaut in deep forest,"(astronaut:1.25) in deep forest, Anime style, majestic scale, intricate textures, volumetric lighting, masterpiece quality"
a angel in mountain temple,"(angel:1.25) in mountain temple, Dark Fantasy style, muted tones, ray traced, volumetric lighting"
a nomad in frozen tundra,"(nomad:1.25) in frozen tundra, Impressionist style, ray traced, ethereal atmosphere, hyper detailed"
a demon in dreamscape,"(demon:1.25) in dreamscape, Impressionist style, volumetric lighting, dramatic shadows, vibrant colors, 8k resolution"
a mechanic in mountain temple,"(mechanic:1.25) in mountain temple, Minimalist style, octane render, hyper detailed, dramatic shadows"
a dragon in floating island,"(dragon:1.25) in floating island, Photoreal style, masterpiece quality, soft bokeh, ethereal atmosphere, hyper detailed"
a forest spirit in desert oasis,"(forest spirit:1.25) in desert oasis, Cyberpunk style, dramatic shadows, majestic scale, octane render, vibrant colors, volumetric lighting"
a monk in stellar nebula,"(monk:1.25) in stellar nebula, Vaporwave style, masterpiece quality, hyper detailed, muted tones, unreal engine 5, octane render"
a knight in mountain temple,"(knight:1.25) in mountain temple, Minimalist style, volumetric lighting, dramatic shadows, soft bokeh"
a old man in mountain temple,"(old man:1.25) in mountain temple, Cinematic style, ray traced, volumetric lighting, octane render, unreal engine 5, ethereal atmosphere"
a wizard in mountain temple,"(wizard:1.25) in mountain temple, Steampunk style, intricate textures, masterpiece quality, volumetric lighting, soft bokeh"
a angel in mountain temple,"(angel:1.25) in mountain temple, Impressionist style, octane render, hyper detailed, intricate textures, 8k resolution"
a forest spirit in frozen tundra,"(forest spirit:1.25) in frozen tundra, Dark Fantasy style, vibrant colors, muted tones, octane render, soft bokeh"
a astronaut in space station,"(astronaut:1.25) in space station, Anime style, sharp focus, ethereal atmosphere, majestic scale, intricate textures"
a dragon in medieval village,"(dragon:1.25) in medieval village, Cinematic style, unreal engine 5, ray traced, octane render, ethereal atmosphere, majestic scale"
a explorer in mountain temple,"(explorer:1.25) in mountain temple, Cyberpunk style, intricate textures, sharp focus, octane render, ray traced, vibrant colors"
a forest spirit in cybernetic lab,"(forest spirit:1.25) in cybernetic lab, Steampunk style, soft bokeh, majestic scale, hyper detailed, 8k resolution"
a robot in floating island,"(robot:1.25) in floating island, Renaissance style, masterpiece quality, 8k resolution, sharp focus, majestic scale"
a warrior in frozen tundra,"(warrior:1.25) in frozen tundra, Photoreal style, majestic scale, hyper detailed, octane render, sharp focus"
a cat in mountain temple,"(cat:1.25) in mountain temple, Anime style, ethereal atmosphere, majestic scale, vibrant colors, unreal engine 5"
a cat in frozen tundra,"(cat:1.25) in frozen tundra, Renaissance style, intricate textures, muted tones, dramatic shadows"
a monk in mars base,"(monk:1.25) in mars base, Minimalist style, masterpiece quality, ethereal atmosphere, hyper detailed, volumetric lighting, 8k resolution"
a robot in space station,"(robot:1.25) in space station, Minimalist style, 8k resolution, sharp focus, ethereal atmosphere, soft bokeh"
a samurai in ancient ruins,"(samurai:1.25) in ancient ruins, Anime style, intricate textures, unreal engine 5, octane render, volumetric lighting, ethereal atmosphere"
a astronaut in mars base,"(astronaut:1.25) in mars base, Steampunk style, sharp focus, 8k resolution, muted tones"
a dragon in medieval village,"(dragon:1.25) in medieval village, Dark Fantasy style, dramatic shadows, ray traced, majestic scale, 8k resolution, intricate textures"
a astronaut in cybernetic lab,"(astronaut:1.25) in cybernetic lab, Cinematic style, hyper detailed, 8k resolution, dramatic shadows"
a astronaut in floating island,"(astronaut:1.25) in floating island, Minimalist style, soft bokeh, ray traced, sharp focus"
a explorer in deep forest,"(explorer:1.25) in deep forest, Photoreal style, majestic scale, sharp focus, unreal engine 5"
a monk in ancient ruins,"(monk:1.25) in ancient ruins, Renaissance style, ray traced, octane render, vibrant colors, muted tones, hyper detailed"
a explorer in space station,"(explorer:1.25) in space station, Photoreal style, unreal engine 5, majestic scale, hyper detailed, intricate textures, vibrant colors"
a wizard in ancient ruins,"(wizard:1.25) in ancient ruins, Cinematic style, 8k resolution, hyper detailed, octane render, dramatic shadows, majestic scale"
a explorer in ancient ruins,"(explorer:1.25) in ancient ruins, Dark Fantasy style, dramatic shadows, sharp focus, soft bokeh"
a wizard in deep forest,"(wizard:1.25) in deep forest, Minimalist style, dramatic shadows, masterpiece quality, muted tones"
a samurai in ancient ruins,"(samurai:1.25) in ancient ruins, Renaissance style, sharp focus, masterpiece quality, muted tones, vibrant colors"
a samurai in frozen tundra,"(samurai:1.25) in frozen tundra, Photoreal style, vibrant colors, muted tones, soft bokeh"
a monk in space station,"(monk:1.25) in space station, Steampunk style, dramatic shadows, muted tones, majestic scale, vibrant colors"
a angel in volcano,"(angel:1.25) in volcano, Photoreal style, soft bokeh, sharp focus, intricate textures"
a old man in stellar nebula,"(old man:1.25) in stellar nebula, Photoreal style, volumetric lighting, octane render, hyper detailed"
a cyberpunk girl in dreamscape,"(cyberpunk girl:1.25) in dreamscape, Impressionist style, intricate textures, ethereal atmosphere, 8k resolution, soft bokeh"
a angel in frozen tundra,"(angel:1.25) in frozen tundra, Photoreal style, vibrant colors, ethereal atmosphere, muted tones"
a monk in deep forest,"(monk:1.25) in deep forest, Photoreal style, intricate textures, majestic scale, sharp focus, masterpiece quality, ethereal atmosphere"
a mechanic in medieval village,"(mechanic:1.25) in medieval village, Vaporwave style, hyper detailed, unreal engine 5, octane render"
a warrior in desert oasis,"(warrior:1.25) in desert oasis, Impressionist style, 8k resolution, volumetric lighting, majestic scale, ray traced"
a scientist in volcano,"(scientist:1.25) in volcano, Dark Fantasy style, muted tones, soft bokeh, vibrant colors, hyper detailed"
a old man in medieval village,"(old man:1.25) in medieval village, Minimalist style, unreal engine 5, masterpiece quality, hyper detailed"
a forest spirit in ancient ruins,"(forest spirit:1.25) in ancient ruins, Dark Fantasy style, masterpiece quality, sharp focus, soft bokeh, octane render, volumetric lighting"
a wizard in stellar nebula,"(wizard:1.25) in stellar nebula, Dark Fantasy style, soft bokeh, majestic scale, hyper detailed"
a warrior in deep forest,"(warrior:1.25) in deep forest, Cinematic style, muted tones, dramatic shadows, vibrant colors, unreal engine 5, ray traced"
a wizard in mountain temple,"(wizard:1.25) in mountain temple, Impressionist style, hyper detailed, vibrant colors, 8k resolution, dramatic shadows"
a warrior in dreamscape,"(warrior:1.25) in dreamscape, Cyberpunk style, masterpiece quality, ray traced, dramatic shadows, volumetric lighting"
a scientist in space station,"(scientist:1.25) in space station, Minimalist style, ray traced, octane render, dramatic shadows, 8k resolution"
a samurai in underwater city,"(samurai:1.25) in underwater city, Minimalist style, majestic scale, soft bokeh, octane render"
a samurai in stellar nebula,"(samurai:1.25) in stellar nebula, Cinematic style, masterpiece quality, ethereal atmosphere, volumetric lighting, hyper detailed"
a nomad in cybernetic lab,"(nomad:1.25) in cybernetic lab, Impressionist style, 8k resolution, muted tones, ray traced, dramatic shadows"
